This is Ipopt version 3.14.4, running with linear solver MUMPS 5.5.1.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:       24
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       24
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       24
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 171  3.1126544e+00 0.00e+00 2.75e+01  -0.8 6.25e-01    -  1.00e+00 5.28e-02f  3
 172  2.8346136e+00 0.00e+00 1.43e+02  -0.9 7.49e-01    -  1.00e+00 3.09e-02f  4
 173  2.4790352e+00 0.00e+00 9.34e+01  -0.5 8.15e-02    -  1.00e+00 5.00e-01f  2
 174  6.0609640e+00 0.00e+00 4.64e+02   0.1 1.32e+00    -  8.67e-01 1.25e-01f  4
 175  6.3292201e+00 0.00e+00 1.03e+02  -0.0 3.90e-01    -  5.83e-01 6.25e-02f  5
 176  5.6421037e+00 0.00e+00 5.04e+02  -0.0 1.02e-01    -  1.00e+00 1.00e+00f  1
 177  5.7376736e+00 0.00e+00 3.49e+02  -0.0 7.77e-01    -  2.79e-01 6.75e-02f  4
 178  4.2028309e+00 0.00e+00 4.00e+02  -0.0 5.82e-02    -  1.00e+00 1.00e+00f  1
 179  4.2357295e+00 0.00e+00 1.94e+02  -0.0 5.62e-01    -  3.66e-01 6.25e-02f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  4.3277751e+00 0.00e+00 1.76e+02  -0.0 3.70e-01    -  1.00e+00 6.25e-02f  5
 181  4.0833961e+00 0.00e+00 2.42e+02  -0.0 6.07e-02    -  1.00e+00 5.00e-01f  2
 182  4.1936113e+00 0.00e+00 4.26e+01  -0.0 8.72e-02    -  1.00e+00 2.50e-01f  3
 183  4.1524014e+00 0.00e+00 7.73e+01  -0.0 2.29e-01    -  7.81e-01 1.25e-01f  4
 184  4.0635763e+00 0.00e+00 1.96e+02  -0.0 3.60e-01    -  1.00e+00 3.12e-02f  6
 185  4.2251604e+00 0.00e+00 1.53e+01  -0.0 1.54e-02    -  1.00e+00 1.00e+00f  1
 186  4.1553323e+00 0.00e+00 3.31e+01  -0.0 7.04e-02    -  1.00e+00 2.50e-01f  3
 187  4.1319744e+00 0.00e+00 5.11e+01  -0.0 1.64e-01    -  1.00e+00 6.25e-02f  5
 188  4.1708891e+00 0.00e+00 6.38e+01  -0.0 1.22e-01    -  1.00e+00 6.25e-02f  5
 189  4.2964065e+00 0.00e+00 1.87e+01  -0.0 5.28e-02    -  1.00e+00 1.25e-01f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  4.2136232e+00 0.00e+00 1.88e+02  -0.0 1.13e-01    -  1.00e+00 5.00e-01f  2
 191  4.6146735e+00 0.00e+00 1.84e+01  -0.0 4.66e-02    -  1.00e+00 1.00e+00f  1
 192  4.7092118e+00 0.00e+00 1.78e+02  -0.0 4.26e-01    -  1.00e+00 1.25e-01f  4
 193  4.5452351e+00 0.00e+00 1.90e+02  -0.0 1.22e-01    -  1.00e+00 2.50e-01f  3
 194  4.3418146e+00 0.00e+00 1.41e+02  -0.0 1.01e-01    -  1.00e+00 5.00e-01f  2
